Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
ABACUS PHARMA (AFRICA) LIMITED,NDA/PRE/EXT/10092,External/Annex Store,\N,KAWEMPE,KAWEMPE,294,Human,Kampala,Kampala Extra - Akamwesi
DELMAW ENTERPRISES LIMITED,NDA/PRE/EXT/10165,External/Annex Store,\N,5TH STREET,5TH STREET,1619,Human,Kampala,Kampala Extra - Akamwesi
DAAF WORLD SERVICES LIMITED,NDA/PRE/EXT/10191,External/Annex Store,\N,KYEBANDO,,1751,Human,Kampala,Kampala Extra - Akamwesi
NATIONAL MEDICAL STORES,NDA/PRE/EXT/10198,External/Annex Store,\N,PLOT 261,OFF MIRZA ROAD,487,Human,Wakiso,Kampala Extra - Akamwesi
MEDECINS SANS FRONTIERES,NDA/PRE/EXT/10310,External/Annex Store,\N,"PLOT 2, OSU CRESCENT, WEST VILLAGE",second street,1104,Human,Kasese,South Western Region - Mbarara
VET CENTRE UGANDA LIMITED,NDA/PRE/EXT/10470,External/Annex Store,\N,Kaaro Saco Building,NJOBE RD,725,Human,Kampala,Kampala Extra - Akamwesi
PHARMA MART LIMITED,NDA/PRE/EXT/10488,External/Annex Store,\N,OPP HWANSUNG FURNITURE INDUSTRY,AT UHMG UPPER WAREH'SE,1060,Human,Kampala,Kampala Extra - Akamwesi
MEDVIN PHARMA LIMITED,NDA/PRE/EXT/10496,External/Annex Store,\N,"Plot 106A, Opoya Complex, Iganga",VIctor House,633,Human,Kampala,Kampala Extra - Akamwesi
CIPLA Quality Chemicals Industries Ltd,NDA/PRE/EXT/1892,External/Annex Store,\N,Plot M502 Ntinda Industrial Area,Kyambogo Rd,503,Human,Kampala,Kampala Extra - Akamwesi
MAKERERE UNIVERSITY / WALTER REED PROJECT LIMITED,NDA/PRE/EXT/1894,External/Annex Store,\N,Plot 42 Kampala,Nakasero Rd,810,Human,Kampala,Kampala Extra - Akamwesi
METRALCO PHARMACY LTD - Mbale,NDA/PRE/EXT/1925,External/Annex Store,\N,PLOT NO. 29,REPUBLIC STREET,344,Human,Mbale,Eastern Region - Tororo
Medical Access (U) Ltd,NDA/PRE/EXT/2010,External/Annex Store,\N,"PLOT 120, Block 250",Bunga-Ggaba Rd,310,Human,Kampala,Kampala Extra - Akamwesi
United Healthcare Distributors - Plot120,NDA/PRE/EXT/2028,External/Annex Store,\N,"Plot 120, Block 250",Bunga-Ggaba Road,310,Human,Kampala,Kampala Extra - Akamwesi
ABT STORAGE FACILITY - PMI VE'LINK - KIBUKU,NDA/PRE/EXT/2032,External/Annex Store,\N,BUSETA,SUB COUNTY HEADQUARTERS,NONE,Human,Kibuku,Eastern Region - Tororo
BEYOND LOGISTICS LTD,NDA/PRE/EXT/2056,External/Annex Store,\N,"Plot 1661, Kakajjo Zone, Bweyogerere",Link Rd,403,Human,Wakiso,Kampala Extra - Akamwesi
MEDVIN PHARMA LTD,NDA/PRE/EXT/2079,External/Annex Store,\N,PLOT 1,Wilson Rd,633,Human,Kampala,Central Regional Office - Masaka
KARURI PHARMACEUTICALS LTD,NDA/PRE/EXT/2080,External/Annex Store,\N,PLOT 264 NEXT TO GENTEX,NTINDA IND. AREA,445,Human,Kampala,Kampala Extra - Akamwesi
ABT Associates Inc-Namutumba HQ,NDA/PRE/EXT/2122,External/Annex Store,\N,District,ICT Headquaters,10/U/7219/PS,Human,Namutumba,South Eastern Region - Jinja
ABT Associates Inc-Works Department,NDA/PRE/EXT/2126,External/Annex Store,\N,Bugiri,Works Department,10/U/7219/PS,Human,Bugiri,South Eastern Region - Jinja
National Medical Stores - Vaccine store,NDA/PRE/EXT/2144,External/Annex Store,\N,Plot 4-12,Nsamizi Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
Dolphin Pharmaceuticals (U) Ltd,NDA/PRE/EXT/2145,External/Annex Store,\N,"Plot 17, Peoples Plaza",Bhatia Towers,547,Human,Kampala,Kampala Extra - Akamwesi
National Medical Store - Danida store,NDA/PRE/EXT/2146,External/Annex Store,\N,Plot 4-12,Nsamizi Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
National Medical Stores - Constra works,NDA/PRE/EXT/2147,External/Annex Store,\N,Plot 2-4,"1st street, Industrial Area",487,Human,Wakiso,Kampala Extra - Akamwesi
National Medical Stores - New lower &Upper,NDA/PRE/EXT/2148,External/Annex Store,\N,Plot 4-12,Nsamiz Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
Norvik Enterprises Ltd,NDA/PRE/EXT/2251,External/Annex Store,\N,Plot 78/3,Bombo Road,342,Human,Kampala,Kampala Extra - Akamwesi
Kamcare Pharma Ltd,NDA/PRE/EXT/2253,External/Annex Store,\N,Behind eyecare Centre,Johnson Street,378,Human,Kampala,Kampala Extra - Akamwesi
SHURIK LTD,NDA/PRE/EXT/2288,External/Annex Store,\N,PLOT 51/2,Kampala Road,236,Human,Kampala,Kampala Extra - Akamwesi
Vrushik Investments (U) Ltd,NDA/PRE/EXT/2296,External/Annex Store,\N,"Plot 91/97, 7th Street",Industrial Area,602,Human,Kampala,Kampala Extra - Akamwesi
Nile services Ltd,NDA/PRE/EXT/2298,External/Annex Store,\N,Plot 11,Mbuya I Rd,803,Veretinary,Kampala,Kampala Extra - Akamwesi
Sinoafrica Medicines &Health Ltd,NDA/PRE/EXT/2348,External/Annex Store,\N,Plot 104-106A,"5th Street, Industrial Area",973,Human,Kampala,Kampala Extra - Akamwesi
Goodman International Ltd,NDA/PRE/EXT/2360,External/Annex Store,\N,"PLOT 24B, HALA PLAZA",Mulago Kaffero Zone Rd,294,Veretinary,Kampala,Kampala Extra - Akamwesi
ABACUS PHARMA (A) LIMITED,NDA/PRE/EXT/2361,External/Annex Store,\N,TITANIC PLAZA,Ben Kiwanuka Street,497,Human,Kampala,Kampala Extra - Akamwesi
ERAM UGANDA LIMITED,NDA/PRE/EXT/2387,External/Annex Store,\N,"PLOT 3 BAKULI, NEAR BAKULI TRAFFIC LIGHTS",NAMIREMBE RD,357,Veretinary,Kampala,Kampala Extra - Akamwesi
Royal Pharma 2011 Ltd,NDA/PRE/EXT/2388,External/Annex Store,\N,PLOT NO. 4B -,Wilson Rd,590,Human,Kampala,Kampala Extra - Akamwesi
HEALTH CARE PHARMACY LTD,NDA/PRE/EXT/2412,External/Annex Store,\N,PLOT N. 09,NABOA RD,1274,Human,Mbale,Eastern Region - Tororo
ABT STORAGE FACILITY - PMI VECTORLINK - T'RO,NDA/PRE/EXT/2414,External/Annex Store,\N,WORKS DEPARTMENT,NAGONGERA ROAD,NONE,Human,Tororo,Eastern Region - Tororo
ABT STORAGE FACILITY - PMI VECTORLINK- BUDAKA,NDA/PRE/EXT/2415,External/Annex Store,\N,DISTRICT,HEAD QUARTERS,NOT APPLICABLE,Human,Budaka,Eastern Region - Tororo
Evervictory Ltd,NDA/PRE/EXT/2433,External/Annex Store,\N,Plot 14/18,Hoima Rd,259,Veretinary,Kampala,Kampala Extra - Akamwesi
SUPER MEDIC LTD,NDA/PRE/EXT/2497,External/Annex Store,\N,PLOT 14 TWESE PLAZA,NAMUWONGO ROAD,478,Human,Kampala,Kampala Extra - Akamwesi
ABT STORAGE FACILITY - PMI VECTORLINK - P'SA,NDA/PRE/EXT/2579,External/Annex Store,\N,WORKS DEPARTMENT-DISTRICT HEAD QUARTERS,KASODO RD,N / A,Human,Pallisa,Eastern Region - Tororo
GITTOES PHARMACEUTICALS,NDA/PRE/EXT/2603,External/Annex Store,\N,RENE PLAZA,WILLIAM STREET,871,Human,Kampala,Kampala Extra - Akamwesi
C &A PHARMACEUTICALS LTD,NDA/PRE/EXT/2667,External/Annex Store,\N,UNIT G25,"BANDALI RISE, BUGOLOBI",317,Human,Kampala,Kampala Extra - Akamwesi
AIVEEN (U) LTD,NDA/PRE/EXT/3050,External/Annex Store,\N,Plot 14,BOMBO ROAD,328,Human,Kampala,Kampala Extra - Akamwesi
GITTOES PHARMACEUTICALS LTD,NDA/PRE/EXT/3078,External/Annex Store,\N,Plot 4 Main Street,WILLIAM STREET,871,Human,Kampala,Kampala Extra - Akamwesi
marco pharmaceuticals ltd,NDA/PRE/EXT/3095,External/Annex Store,\N,Mukwano Arcade CG.22,Ben Kiwanuka street,300,Human,Kampala,Kampala Extra - Akamwesi
BYAKUWAWO WHOLESALE PHARMACY,NDA/PRE/EXT/3108,External/Annex Store,\N,Plot 2A,SAZA ROAD,775,Human,Iganga,South Eastern Region - Jinja
MULTIPLE SUPER INVESTMENTS LIMITED,NDA/PRE/EXT/3205,External/Annex Store,\N,KISAKYAMARIA BUILDING,BOMBO ROAD,848,Human,Kampala,Kampala Extra - Akamwesi
PLANET PHARMACEUTICAL (U) LTD,NDA/PRE/EXT/3221,External/Annex Store,\N,PLOT 162 ZAKE ROAD MENGO,RUBAGA DIVISION,398,Human,Kampala,Kampala Extra - Akamwesi
KAKANYERO ENTERPRISES PHARMACEUTICALS LIMITED,NDA/PRE/EXT/3556,External/Annex Store,\N,PLOT 17,Lane,462,Human,Gulu,Northern Region - Lira
MAIN PHARMACEUTICALS (U) LIMITED,NDA/PRE/EXT/3557,External/Annex Store,\N,CUSTOMS,CUSTOMS ROAD - ARUBAINE 'A',1019,Human,Busia,Eastern Region - Tororo
ABT STORAGE F'LITY - PMI VECTOR LINK - B'JA,NDA/PRE/EXT/3977,External/Annex Store,\N,HEALTH CENTRE III,TOWN COUNCIL,2100,Human,Butaleja,Eastern Region - Tororo
PHARMAGEN UGANDA LIMITED,NDA/PRE/EXT/4149,External/Annex Store,\N,Natete Opp. Police Station,MASAKA ROAD,903,Human,Kampala,Kampala Extra - Akamwesi
MAKERERE UNIVERSITY / WALTER REED PROJECT LIM,NDA/PRE/EXT/4240,External/Annex Store,\N,Fort Portal Regional Referral Hospital JMEDICC ETU,Buhinga Road,810,Human,Fort Portal,Western Region - Hoima
AAFIYA (A) LTD,NDA/PRE/EXT/4753,External/Annex Store,\N,Plot 18,NAMIREMBE ROAD,899,Human,Kampala,Kampala Extra - Akamwesi
PHARMALIFT LTD,NDA/PRE/EXT/4770,External/Annex Store,\N,"PLOT 1620, BLOCK 206, MPERERWE",Arua park street,1311,Human,Kampala,Kampala Extra - Akamwesi
SKY PHARMACY LTD,NDA/PRE/EXT/4998,External/Annex Store,\N,PLOT 28 -,REPUBLIC STREET,254,Human,Mbale,Eastern Region - Tororo
MU PHARMA CO SMC LTD,NDA/PRE/EXT/5006,External/Annex Store,\N,EMKA HOUSE,BOMBO RD,1413,Human,Kampala,Kampala Extra - Akamwesi
Abacus Parenteral Drugs Ltd,NDA/PRE/EXT/5081,External/Annex Store,\N,"Plot 114, Block 191 - Gwawamya Kinga, Kapeke - Mukono",Kampala-Jinja Road,794,Human,Mukono,South Eastern Region - Jinja
NEW LIFE PHARMACY,NDA/PRE/EXT/5188,External/Annex Store,\N,PLOT NO. 09/11 -,MBALE ROAD,1440,Human,Tororo,Eastern Region - Tororo
STAR GOLD PHARMACY,NDA/PRE/EXT/5638,External/Annex Store,\N,PLOT 8,NORTH ROAD,1187,Human,Mbale,Eastern Region - Tororo
YAFFE PHARMACY LTD,NDA/PRE/EXT/5699,External/Annex Store,\N,KATIKAMU- NAKASEKE T/C,LUWUMU STREET,1451,Human,Kampala,Kampala Extra - Akamwesi
ROYAL PHARMA 2011 LIMITED,NDA/PRE/EXT/5801,External/Annex Store,\N,PLOT 19,KUMI ROAD,1284,Human,Mbale,Eastern Region - Tororo
ABACUS PHARMA A LTD,NDA/PRE/EXT/5806,External/Annex Store,\N,"PLOT 4, MBARARA CITY MALL",BUREMBA ROAD,533,Human,Mbarara,South Western Region - Mbarara
ABACUS PARENTERAL DRUGS LIMITED,NDA/PRE/EXT/6191,External/Annex Store,\N,PLOT 114 BLOCK 191,Wilson Road,794,Human,Kampala,Kampala Extra - Akamwesi
PLANET PHARMACEUTICALS UGANDA LTD,NDA/PRE/EXT/6393,External/Annex Store,\N,"Plot 8, Bhatia building",WILLIAM STREET,398,Human,Kampala,Kampala Extra - Akamwesi
UNITED HEALTHCARE DISTRIBUTORS LIMITED,NDA/PRE/EXT/6527,External/Annex Store,\N,"Plot 65 &66, Namanve",Industrial Area,310,Human,Mukono,South Eastern Region - Jinja
MIDAS CARE (U) LIMITED,NDA/PRE/EXT/6890,External/Annex Store,\N,"Plot 12, Bhatia Building",WILLIAM STREET,501,Human,Kampala,Kampala Extra - Akamwesi
REDDYS PHARMA LIMITED,NDA/PRE/EXT/7147,External/Annex Store,\N,"Plot 114/5, Kawempe","MATUGGA, BOMBO RD",640,Human,Wakiso,Kampala Extra - Akamwesi
ASTHA HEALTH CARE LIMITED,NDA/PRE/EXT/8539,External/Annex Store,\N,MAGANJO,MAGANJO,988,Human,Wakiso,Kampala Extra - Akamwesi
